opponent_bot,round,cumulative_ks,is_adapting_now
BeepBoop 2.0,19,0.05637117081800458,0
BeepBoop 2.0,20,0.056006872260747964,0
BeepBoop 2.0,21,0.058410134246685175,0
BeepBoop 2.0,22,0.056830468610615026,0
BeepBoop 2.0,23,0.05653416098143982,0
BeepBoop 2.0,24,0.055680494681494164,0
BeepBoop 2.0,25,0.05657035031686486,0
BeepBoop 2.0,26,0.05774663360866816,0
BeepBoop 2.0,27,0.05760263041537661,0
BeepBoop 2.0,28,0.055794303549434154,0
BeepBoop 2.0,29,0.05661924679322905,0
BeepBoop 2.0,30,0.05834613439843761,0
BeepBoop 2.0,31,0.05816195266333424,0
BeepBoop 2.0,32,0.057463218587622156,0
BeepBoop 2.0,33,0.05734750530101829,0
BeepBoop 2.0,34,0.057119791182348,0
BlackBox 0.0.2,1,0.053106163453706216,0
BlackBox 0.0.2,2,0.040265458948029235,0
BlackBox 0.0.2,3,0.046330830356491944,0
BlackBox 0.0.2,4,0.04521363163150403,0
BlackBox 0.0.2,5,0.0411787735076304,0
BlackBox 0.0.2,6,0.041134580609023676,0
BlackBox 0.0.2,7,0.03880144508323624,0
BlackBox 0.0.2,8,0.03970443349753694,0
BlackBox 0.0.2,9,0.039184702038601804,0
BlackBox 0.0.2,10,0.03907305434773212,0
BlackBox 0.0.2,11,0.03891543984548218,0
BlackBox 0.0.2,12,0.0411525027634172,0
BlackBox 0.0.2,13,0.04109932883889622,0
BlackBox 0.0.2,14,0.04301903735632184,0
BlackBox 0.0.2,15,0.04233244577456008,0
BlackBox 0.0.2,16,0.043854204645672135,0
BlackBox 0.0.2,17,0.043099329813920395,0
BlackBox 0.0.2,18,0.04281196270676102,0
BlackBox 0.0.2,19,0.041881267836009095,0
BlackBox 0.0.2,20,0.04189008531260552,0
BlackBox 0.0.2,21,0.04231562943293121,0
BlackBox 0.0.2,22,0.041930601845917126,0
BlackBox 0.0.2,23,0.04238428061498034,0
BlackBox 0.0.2,24,0.0425180992606673,0
BlackBox 0.0.2,25,0.04186669508042418,0
BlackBox 0.0.2,26,0.04232358742492126,0
BlackBox 0.0.2,27,0.042537554134125743,0
BlackBox 0.0.2,28,0.04186946768715072,0
BlackBox 0.0.2,29,0.04118364823823484,0
BlackBox 0.0.2,30,0.039941145076644924,0
BlackBox 0.0.2,31,0.039712549162893906,0
BlackBox 0.0.2,32,0.03983115247878477,0
BlackBox 0.0.2,33,0.040631674478665225,0
BlackBox 0.0.2,34,0.04118793492555628,0
CHCl3 1.4.2,1,0.050965836526181356,0
CHCl3 1.4.2,2,0.04146057094403618,0
CHCl3 1.4.2,3,0.034286664076973644,0
CHCl3 1.4.2,4,0.03169366351855919,0
CHCl3 1.4.2,5,0.039033251231527094,0
CHCl3 1.4.2,6,0.041706629815441196,0
CHCl3 1.4.2,7,0.037706916211221644,0
CHCl3 1.4.2,8,0.0365590368158511,0
CHCl3 1.4.2,9,0.03687750262411072,0
CHCl3 1.4.2,10,0.03366056045448325,0
CHCl3 1.4.2,11,0.03219444046994491,0
CHCl3 1.4.2,12,0.03640785057959761,0
CHCl3 1.4.2,13,0.03591685966718139,0
CHCl3 1.4.2,14,0.03637823769843962,0
CHCl3 1.4.2,15,0.03660041919480839,0
CHCl3 1.4.2,16,0.035627633516233326,0
CHCl3 1.4.2,17,0.03607571214392813,0
CHCl3 1.4.2,18,0.037169166911140916,0
CHCl3 1.4.2,19,0.03619873809617857,0
CHCl3 1.4.2,20,0.034397556215649994,0
CHCl3 1.4.2,21,0.034799493224633715,0
CHCl3 1.4.2,22,0.03385110392663038,0
CHCl3 1.4.2,23,0.03466172801097156,0
CHCl3 1.4.2,24,0.03417400639477941,0
CHCl3 1.4.2,25,0.03361316599846398,0
CHCl3 1.4.2,26,0.03268828671990842,0
CHCl3 1.4.2,27,0.03298626936337459,0
CHCl3 1.4.2,28,0.031291041669898295,0
CHCl3 1.4.2,29,0.03171546347279186,0
CHCl3 1.4.2,30,0.03193898474416579,0
CHCl3 1.4.2,31,0.03173827447443281,0
CHCl3 1.4.2,32,0.031875311816939145,0
CHCl3 1.4.2,33,0.032406953050614806,0
CHCl3 1.4.2,34,0.03324198240385978,0
Cardigan 1.09,1,0.08004006705098328,0
Cardigan 1.09,2,0.07201678468397588,0
Cardigan 1.09,3,0.06339736162774152,0
Cardigan 1.09,4,0.06284611822812163,0
Cardigan 1.09,5,0.06642161635832522,0
Cardigan 1.09,6,0.07051772001883208,0
Cardigan 1.09,7,0.07155660952338738,0
Cardigan 1.09,8,0.06926699814958226,0
Cardigan 1.09,9,0.06722208560094944,0
Cardigan 1.09,10,0.06761776376995954,0
Cardigan 1.09,11,0.06743241200159433,0
Cardigan 1.09,12,0.06817218997710472,0
Cardigan 1.09,13,0.06948245880211013,0
Cardigan 1.09,14,0.06912857316064736,0
Cardigan 1.09,15,0.0683327438312209,0
Cardigan 1.09,16,0.07010466172666185,0
Cardigan 1.09,17,0.06977653743629164,0
Cardigan 1.09,18,0.06896798296709916,0
Cardigan 1.09,19,0.06896833110557565,0
Cardigan 1.09,20,0.06875343777065324,0
Cardigan 1.09,21,0.06838793261656817,0
Cardigan 1.09,22,0.0673962910682514,0
Cardigan 1.09,23,0.06586143506818276,0
